CO_PROCEDIMENTO,CO_CID,ST_PRINCIPAL,DT_COMPETENCIA
0201010330,C409,S,202306
0201010330,C764,S,202306
0201010330,D160,S,202306
0201010330,D161,S,202306
0201010330,D162,S,202306
0201010330,D163,S,202306
0201010330,D169,S,202306
0201010330,M400,S,202306
0201010330,M701,S,202306
0201010330,M841,S,202306
0201010330,M860,S,202306
0201010330,M861,S,202306
0201010330,M862,S,202306
0201010330,M863,S,202306
0201010330,M864,S,202306
0201010330,M865,S,202306
0201010330,M866,S,202306
0201010330,M868,S,202306
0201010330,M869,S,202306
0201010330,P369,S,202306
0201010330,R229,S,202306
0201010356,H000,S,202306
0201010356,H010,S,202306
0201010356,H011,S,202306
0201010356,H018,S,202306
0201010356,H019,S,202306
0201010356,H024,S,202306
0201010356,H025,S,202306
0201010356,H027,S,202306
0201010356,H028,S,202306
0201010356,H029,S,202306
0201010364,H611,S,202306
0201010364,H618,S,202306
0201010364,H619,S,202306
0201010380,B977,S,202306
0201010380,C600,S,202306
0201010380,C601,S,202306
0201010380,C602,S,202306
0201010380,C608,S,202306
0201010380,C609,S,202306
0201010380,N480,S,202306
0201010380,N482,S,202306
0201010402,A156,S,202306
0201010402,A162,S,202306
0201010402,B908,S,202306
0201010402,B950,S,202306
0201010402,B951,S,202306
0201010402,B952,S,202306
0201010402,B953,S,202306
0201010402,B954,S,202306
0201010402,B956,S,202306
0201010402,B957,S,202306
0201010402,B960,S,202306
0201010402,B961,S,202306
0201010402,B962,S,202306
0201010402,B963,S,202306
0201010402,B964,S,202306
0201010402,B965,S,202306
0201010402,B967,S,202306
0201010402,B968,S,202306
0201010402,C37,S,202306
0201010402,C384,S,202306
0201010402,C388,S,202306
0201010402,C390,S,202306
0201010402,C398,S,202306
0201010402,C450,S,202306
0201010402,C468,S,202306
0201010402,C508,S,202306
0201010402,C758,S,202306
0201010402,C771,S,202306
0201010402,C782,S,202306
0201010402,C817,S,202306
0201010402,C827,S,202306
0201010402,D190,S,202306
0201010402,D382,S,202306
0201010402,I260,S,202306
0201010402,I269,S,202306
0201010402,I310,S,202306
0201010402,I311,S,202306
0201010402,I312,S,202306
0201010402,J178,S,202306
0201010402,J431,S,202306
0201010402,J432,S,202306
0201010402,J438,S,202306
0201010402,J441,S,202306
0201010402,J448,S,202306
0201010402,J850,S,202306
0201010402,J851,S,202306
0201010402,J852,S,202306
0201010402,J853,S,202306
0201010402,J860,S,202306
0201010402,J869,S,202306
0201010402,J90,S,202306
